ABW|AW|Аруба
AFG|AF|Афганистан
AGO|AO|Ангола
AIA|AI|Ангилья
ALA|AX|Эландские острова
ALB|AL|Албания
AND|AD|Андорра
ANT|AN|Нидерландские Антилы
ARE|AE|Объединенные Арабские Эмираты
ARG|AR|Аргентина
ARM|AM|Армения
ASM|AS|Американское Самоа
ATA|AQ|Антарктида
ATF|TF|Французские Южные территории
ATG|AG|Антигуа и Барбуда
AUS|AU|Австралия
AUT|AT|Австрия
AZE|AZ|Азербайджан
BDI|BI|Бурунди
BEL|BE|Бельгия
BEN|BJ|Бенин
BFA|BF|Буркина-Фасо
BGD|BD|Бангладеш
BGR|BG|Болгария
BHR|BH|Бахрейн
BHS|BS|Багамы
BIH|BA|Босния и Герцеговина
BLM|BL|Сен-Бартельми
BLR|BY|Беларусь
BLZ|BZ|Белиз
BMU|BM|Бермуды
BOL|BO|Боливия
BRA|BR|Бразилия
BRB|BB|Барбадос
BRN|BN|Бруней-Даруссалам
BTN|BT|Бутан
BVT|BV|Остров Буве
BWA|BW|Ботсвана
CAF|CF|Центрально-Африканская Республика
CAN|CA|Канада
CCK|CC|Кокосовые (Килинг) острова
CHE|CH|Швейцария
CHL|CL|Чили
CHN|CN|Китай
CIV|CI|Кот д'Ивуар
CMR|CM|Камерун
COD|CD|Конго, Демократическая Республика
COG|CG|Конго
COK|CK|Острова Кука
COL|CO|Колумбия
COM|KM|Коморы
CPV|CV|Кабо-Верде
CRI|CR|Коста-Рика
CUB|CU|Куба
CXR|CX|Остров Рождества
CYM|KY|Острова Кайман
CYP|CY|Кипр
CZE|CZ|Чешская Республика
DEU|DE|Германия
DJI|DJ|Джибути
DMA|DM|Доминика
DNK|DK|Дания
DOM|DO|Доминиканская Республика
DZA|DZ|Алжир
ECU|EC|Эквадор
EGY|EG|Египет
ERI|ER|Эритрея
ESH|EH|Западная Сахара
ESP|ES|Испания
EST|EE|Эстония
ETH|ET|Эфиопия
FIN|FI|Финляндия
FJI|FJ|Фиджи
FLK|FK|Фолклендские острова (Мальвинские)
FRA|FR|Франция
FRO|FO|Фарерские острова
FSM|FM|Микронезия, Федеративные Штаты
GAB|GA|Габон
GBR|GB|Соединенное Королевство
GEO|GE|Грузия
GGY|GG|Гернси
GHA|GH|Гана
GIB|GI|Гибралтар
GIN|GN|Гвинея
GLP|GP|Гваделупа
GMB|GM|Гамбия
GNB|GW|Гвинея-Бисау
GNQ|GQ|Экваториальная Гвинея
GRC|GR|Греция
GRD|GD|Гренада
GRL|GL|Гренландия
GTM|GT|Гватемала
GUF|GF|Французская Гвиана
GUM|GU|Гуам
GUY|GY|Гайана
HKG|HK|Гонконг
HMD|HM|Остров Херд и острова Макдональд
HND|HN|Гондурас
HRV|HR|Хорватия
HTI|HT|Гаити
HUN|HU|Венгрия
IDN|ID|Индонезия
IMN|IM|Остров Мэн
IND|IN|Индия
IOT|IO|Британская территория в Индийском океане
IRL|IE|Ирландия
IRN|IR|Иран, Исламская Республика
IRQ|IQ|Ирак
ISL|IS|Исландия
ISR|IL|Израиль
ITA|IT|Италия
JAM|JM|Ямайка
JEY|JE|Джерси
JOR|JO|Иордания
JPN|JP|Япония
KAZ|KZ|Казахстан
KEN|KE|Кения
KGZ|KG|Киргизия
KHM|KH|Камбоджа
KIR|KI|Кирибати
KNA|KN|Сент-Китс и Невис
KOR|KR|Южная Корея
KWT|KW|Кувейт
LAO|LA|Лаос
LBN|LB|Ливан
LBR|LR|Либерия
LBY|LY|Ливийская Арабская Джамахирия
LCA|LC|Сент-Люсия
LIE|LI|Лихтенштейн
LKA|LK|Шри-Ланка
LSO|LS|Лесото
LTU|LT|Литва
LUX|LU|Люксембург
LVA|LV|Латвия
MAC|MO|Макао
MAF|MF|Остров Святого Мартина
MAR|MA|Марокко
MCO|MC|Монако
MDA|MD|Молдова, Республика
MDG|MG|Мадагаскар
MDV|MV|Мальдивы
MEX|MX|Мексика
MHL|MH|Маршалловы острова
MKD|MK|Республика Македония
MLI|ML|Мали
MLT|MT|Мальта
MMR|MM|Мьянма
MNE|ME|Черногория
MNG|MN|Монголия
MNP|MP|Северные Марианские острова
MOZ|MZ|Мозамбик
MRT|MR|Мавритания
MSR|MS|Монтсеррат
MTQ|MQ|Мартиника
MUS|MU|Маврикий
MWI|MW|Малави
MYS|MY|Малайзия
MYT|YT|Майотта
NAM|NA|Намибия
NCL|NC|Новая Каледония
NER|NE|Нигер
NFK|NF|Остров Норфолк
NGA|NG|Нигерия
NIC|NI|Никарагуа
NIU|NU|Ниуэ
NLD|NL|Нидерланды
NOR|NO|Норвегия
NPL|NP|Непал
NRU|NR|Науру
NZL|NZ|Новая Зеландия
OMN|OM|Оман
PAK|PK|Пакистан
PAN|PA|Панама
PCN|PN|Питкерн
PER|PE|Перу
PHL|PH|Филиппины
PLW|PW|Палау
PNG|PG|Папуа-Новая Гвинея
POL|PL|Польша
PRI|PR|Пуэрто-Рико
PRK|KP|Северная Корея
PRT|PT|Португалия
PRY|PY|Парагвай
PSE|PS|Палестинская территория, оккупированная
PYF|PF|Французская Полинезия
